"V1","V2","V3","V4","V5"
0,10,0,0,0
0,57,0,0,0
0,24,0,0,0
0,47,0,0,0
0,23,0,0,0
0,35,0,0,0
0,1,0,0,0
0,15,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,51,0,9,0
0,13,0,0,1
0,1,0,0,0
0,78,1,0,0
0,26,2,0,0
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
0,43,0,0,0
0,0,0,0,0
0,1,0,0,0
0,21,0,0,0
13,26,0,0,1
0,0,0,0,0
0,1,1,0,1
0,19,0,0,0
0,23,0,0,0
0,16,0,0,0
0,24,0,0,0
0,28,0,0,0
0,38,0,0,0
0,1,0,0,0
0,14,0,0,0
0,21,0,0,0
0,0,0,0,0
0,0,0,0,0
0,65,0,0,0
0,29,3,0,0
0,1,0,0,0
0,31,1,0,0
0,54,1,0,0
0,37,7,0,0
0,30,0,0,0
0,28,0,0,0
0,60,0,0,0
0,20,4,0,0
0,13,5,0,0
0,25,0,0,0
0,2,0,0,0
0,37,0,0,0
0,0,0,0,0
0,14,0,0,0
0,0,0,0,0
0,23,0,1,0
0,0,0,0,0
0,55,0,0,0
0,65,1,0,0
0,5,1,0,0
0,35,0,0,0
0,0,0,0,0
0,19,2,0,0
0,2,0,0,0
0,48,0,4,0
0,0,0,0,0
0,12,1,0,0
0,47,0,0,0
0,41,0,0,0
0,64,0,0,0
0,19,0,6,0
0,1,0,0,0
0,19,1,0,0
0,18,0,0,0
0,2,0,0,0
0,24,0,0,0
0,0,0,0,0
0,34,0,0,0
0,0,0,0,0
0,39,1,0,0
0,0,0,0,0
0,23,3,0,0
1,31,0,2,0
0,36,0,0,0
0,43,0,1,0
0,40,0,0,0
0,48,4,1,0
0,0,0,0,1
0,0,0,0,0
5,32,0,3,0
0,18,1,0,0
0,28,0,0,0
2,76,1,0,1
0,58,0,9,0
0,1,0,0,0
0,44,0,0,0
0,1,0,0,0
0,2,0,0,0
0,115,0,0,0
0,64,0,0,0
0,0,0,0,0
0,35,0,4,0
0,47,0,0,0
0,9,4,0,0
0,42,0,0,0
0,12,0,0,2
0,36,1,2,0
0,14,0,0,0
0,59,0,0,0
0,63,0,0,0
0,1,0,0,0
0,32,1,0,0
0,24,0,0,0
0,37,0,0,0
1,8,1,0,1
0,1,0,0,0
0,16,0,0,0
0,28,0,0,1
0,0,0,0,0
0,1,0,0,0
0,73,0,0,0
0,22,0,0,0
0,1,0,0,0
0,42,0,0,0
0,30,0,6,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,14,0,0,0
0,32,1,0,0
0,10,0,0,0
0,0,0,0,0
0,20,1,0,0
0,19,0,0,0
0,0,0,0,0
0,46,0,0,0
0,0,0,0,0
0,41,0,0,0
0,18,0,0,0
0,61,1,0,0
0,0,0,0,0
0,134,0,0,0
1,36,0,0,0
0,27,0,0,0
0,2,0,0,0
0,38,0,0,0
0,36,2,0,0
1,35,3,0,0
0,0,0,0,0
0,50,0,4,0
0,0,0,0,0
1,99,1,2,1
0,18,0,0,0
0,0,0,0,0
0,0,0,0,0
0,29,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,58,0,6,0
0,20,1,0,0
0,0,0,0,0
0,34,0,0,0
4,68,0,0,0
0,15,0,0,0
0,28,2,0,0
0,0,0,0,0
0,0,0,0,0
0,3,0,0,0
0,0,0,0,0
0,31,1,0,0
0,42,7,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,33,0,0,0
0,54,1,0,0
0,30,0,0,0
0,27,0,0,0
0,32,1,0,0
0,67,1,0,0
0,45,0,14,0
0,0,0,0,0
0,25,2,0,0
0,28,0,0,0
0,58,4,0,0
0,88,0,0,0
0,0,0,0,0
18,19,0,0,0
0,7,0,0,0
0,4,0,0,0
0,54,0,15,0
0,48,3,0,0
0,31,0,0,0
0,56,0,0,0
0,24,0,0,0
0,71,0,0,0
0,2,0,0,0
0,0,0,0,0
15,22,0,0,0
0,1,0,0,0
0,38,0,0,0
0,0,0,0,0
0,26,0,0,0
0,2,0,0,0
0,14,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,72,0,0,0
0,39,0,0,0
0,0,0,0,0
0,48,2,0,0
0,57,0,7,0
0,15,0,0,1
0,24,0,10,0
1,26,1,0,0
0,20,0,0,0
0,19,0,0,0
0,0,0,0,0
0,2,0,0,0
0,33,0,0,0
1,60,0,0,0
0,0,0,0,0
0,40,3,0,0
0,0,0,0,0
0,0,0,0,0
0,21,0,3,0
0,43,0,1,0
0,0,0,0,0
0,41,1,0,0
0,33,4,0,0
0,24,2,0,0
0,69,2,0,0
0,1,0,0,0
0,22,0,6,0
0,38,0,0,0
0,23,0,0,0
0,14,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,24,1,0,0
0,18,0,0,0
0,2,0,0,0
0,0,0,0,0
0,28,0,4,0
1,21,1,0,0
0,26,0,0,0
0,42,0,6,0
0,0,0,1,0
0,171,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,34,0,0,0
0,19,1,0,0
0,34,1,0,0
0,1,0,0,0
0,51,0,5,0
0,24,0,0,0
0,0,0,0,0
0,34,0,0,0
0,30,0,0,0
0,0,0,0,0
0,29,2,0,0
1,33,0,2,0
0,0,0,0,0
0,62,0,7,0
0,39,4,0,0
0,33,2,0,0
0,32,0,0,1
0,44,0,0,0
0,20,1,0,0
0,63,0,0,0
0,4,0,0,0
2,22,0,2,0
0,13,0,0,0
0,64,2,1,0
0,31,0,1,0
0,21,0,0,0
0,27,0,0,1
0,42,1,0,0
0,1,0,0,0
0,70,0,0,0
0,3,0,0,0
0,32,0,0,0
0,34,0,0,0
0,62,0,0,0
0,71,0,0,0
0,14,0,0,0
0,35,0,0,0
0,17,1,0,0
0,41,0,0,0
0,25,2,0,1
0,0,0,0,0
0,1,0,0,0
0,47,0,2,0
0,68,0,1,0
0,78,0,0,0
0,0,0,0,0
0,43,0,0,0
0,0,0,0,0
0,39,0,0,0
0,27,0,0,0
0,0,0,0,0
0,5,0,0,0
0,17,0,0,0
0,14,0,0,0
0,2,0,0,0
0,34,0,0,0
0,30,4,0,1
0,19,1,0,0
0,53,0,8,0
0,16,1,0,0
0,20,0,0,0
0,0,0,0,0
9,18,1,0,0
0,0,0,0,0
1,31,2,0,0
0,70,0,0,0
0,0,0,0,0
0,48,0,0,0
0,0,0,0,0
0,30,0,0,0
0,24,0,3,0
0,0,0,0,0
0,55,7,0,0
0,11,2,0,0
0,14,0,0,0
0,57,0,0,0
0,22,0,0,0
0,47,2,0,0
0,71,0,0,0
0,34,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
0,46,0,0,0
0,15,0,0,0
1,25,1,0,0
0,38,0,0,0
0,25,0,0,0
0,12,2,0,0
0,4,0,0,0
0,0,0,0,0
0,2,0,0,0
0,13,1,0,1
0,0,0,0,0
0,17,3,0,0
0,18,0,0,0
0,34,0,0,0
0,0,0,0,0
0,0,0,0,0
0,26,0,0,0
0,43,0,0,0
0,23,0,0,0
0,46,0,0,0
0,47,0,0,0
0,0,0,0,0
0,35,0,0,0
0,40,0,0,0
0,64,0,0,0
0,14,0,0,0
0,0,0,0,0
0,15,0,1,0
0,46,0,0,0
0,63,0,3,0
0,44,0,0,0
0,0,0,0,0
0,23,2,0,0
0,20,2,0,0
0,66,1,0,0
0,51,0,0,0
0,1,0,0,0
0,0,0,0,0
0,68,0,0,0
0,0,0,0,0
0,19,0,0,0
0,38,5,0,0
0,21,1,0,0
0,27,1,0,1
0,0,0,0,0
0,60,3,0,0
0,68,0,0,0
0,80,0,0,0
0,26,0,0,0
0,85,0,0,0
0,60,0,0,0
0,26,1,0,0
0,0,0,0,0
0,0,0,0,0
0,8,0,0,0
0,34,0,0,0
0,13,0,0,0
1,105,0,2,0
0,39,0,1,0
0,0,0,0,0
0,16,0,0,1
0,0,0,0,0
0,76,0,0,0
0,27,0,0,0
0,0,0,0,0
0,35,0,0,0
0,25,0,0,0
8,22,0,0,0
0,18,3,0,0
0,7,0,0,0
0,5,0,0,0
0,48,0,0,0
0,44,0,0,0
0,0,0,0,0
0,0,0,0,0
0,43,0,0,0
0,0,0,0,0
0,18,0,0,0
0,10,1,0,1
0,0,0,0,0
0,8,1,0,0
0,0,0,0,0
0,35,0,0,0
34,35,5,0,0
0,0,0,0,0
0,5,1,0,0
0,45,4,0,0
0,20,0,0,0
0,0,0,0,0
0,30,0,0,0
0,0,0,0,0
0,65,4,0,0
0,21,1,0,0
0,14,1,0,0
0,0,0,0,0
0,0,0,0,0
0,56,0,0,0
0,1,0,0,0
0,41,0,7,0
0,12,0,0,0
0,17,2,0,0
0,0,0,0,0
0,39,0,1,0
0,21,1,0,0
0,14,0,0,0
0,56,0,0,0
0,0,0,0,0
0,15,0,2,0
0,0,0,0,0
0,62,1,0,1
5,239,0,0,0
0,38,0,0,0
0,1,0,0,0
0,22,1,0,0
0,1,0,1,0
1,38,0,0,0
10,50,0,0,0
0,37,0,4,0
0,19,0,0,1
0,5,0,0,0
0,30,0,0,0
0,7,1,0,0
0,16,0,0,0
1,28,0,0,0
0,2,0,0,0
0,33,0,6,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,23,0,0,0
0,26,0,0,0
0,27,3,0,0
0,20,2,0,0
1,71,0,0,0
34,140,0,0,0
11,28,0,3,0
0,49,0,0,0
0,56,0,1,0
0,1,0,0,0
0,42,0,0,0
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,31,0,0,0
0,29,0,0,0
0,51,0,0,0
0,57,0,0,0
0,0,0,0,0
0,0,0,0,0
0,45,1,0,1
0,1,0,0,0
0,14,3,0,0
0,41,0,0,0
0,34,0,0,0
0,22,1,0,0
0,17,1,0,0
0,27,0,0,0
0,0,0,0,0
0,0,0,0,0
0,32,0,0,0
0,32,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,91,6,0,0
0,50,0,0,0
0,37,1,0,0
0,26,2,0,0
0,57,0,0,0
0,24,0,0,0
0,40,0,0,0
0,52,0,1,0
0,21,0,1,0
0,29,2,0,0
0,31,0,0,0
0,60,0,9,0
24,31,0,0,0
0,9,1,0,0
0,35,0,0,0
0,24,0,0,0
0,55,0,0,0
0,58,0,0,0
0,62,0,0,0
0,33,0,1,0
0,25,0,4,1
0,47,0,2,0
0,17,0,0,0
0,60,0,7,0
0,0,0,0,0
0,35,0,0,0
0,21,1,0,0
0,35,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,60,2,0,0
0,33,1,0,1
0,34,0,0,0
0,22,2,0,0
0,55,0,0,1
0,33,3,0,1
0,67,0,0,0
0,1,0,0,0
0,0,0,0,0
0,46,4,0,0
1,115,5,0,0
0,30,2,0,0
0,72,7,0,0
0,0,0,0,0
0,20,1,0,1
0,23,0,0,0
0,39,0,0,0
0,13,4,0,0
0,2,0,0,0
0,41,1,0,0
0,0,0,0,0
0,36,0,0,0
0,18,1,0,0
0,0,0,0,0
0,40,0,0,0
0,3,0,0,1
21,26,0,0,0
0,39,1,0,0
0,4,0,0,0
0,82,0,0,0
0,4,0,0,0
